study_id,phase,sponsor_type,no_of_locations,no_of_conditions,enrollment,allocation,intervention_model,masking,no_of_arms,no_of_drug_interventions,no_of_behavioral_interventions,no_of_procedural_interventions,no_of_biological_interventions,no_of_device_interventions,no_of_dietary_interventions,no_of_other_interventions,adverseEventDataAvailable,no_of_combination_product_interventions,no_of_diagnostic_test_interventions,no_of_genetic_interventions,no_of_radiation_interventions,min_age,max_age,gender,total_dropout_rate,start_date,end_date,no_of_primary_outcomes,no_of_secondary_outcomes,has_result
NCT05159622,,OTHER,1.0,1,92.0,RANDOMIZED,PARALLEL,SINGLE,2.0,0,1,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.1,2019-07-17,2023-01-26,2.0,4.0,True
NCT01408628,,OTHER,1.0,1,51.0,,SINGLE_GROUP,NONE,1.0,0,1,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.0,2011-08-01,2015-07-01,1.0,2.0,True
NCT00121667,PHASE3,INDUSTRY,154.0,1,1462.0,RANDOMIZED,PARALLEL,DOUBLE,4.0,5,0,0,0,0,0,0,1,0,0,0,0,18.0,77.0,ALL,0.0,2005-07-18,2015-04-08,1.0,3.0,True
NCT02024477,PHASE4,OTHER,1.0,1,42.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,40.0,70.0,ALL,0.0,2013-12-13,2019-01-30,2.0,5.0,True
NCT01106690,PHASE3,INDUSTRY,83.0,1,344.0,RANDOMIZED,PARALLEL,TRIPLE,3.0,5,0,0,0,0,0,0,1,0,0,0,0,18.0,80.0,ALL,0.0,2010-04-01,2013-06-26,1.0,7.0,True
NCT02481596,,OTHER,1.0,1,512.0,RANDOMIZED,PARALLEL,NONE,3.0,0,3,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.02,2015-06-23,2019-11-25,3.0,3.0,True
NCT00123643,PHASE4,OTHER,1.0,1,36.0,RANDOMIZED,PARALLEL,QUADRUPLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,25.0,75.0,ALL,0.0,2005-07-21,2013-06-26,1.0,,True
NCT03865381,,INDUSTRY,2.0,1,60.0,,SINGLE_GROUP,NONE,1.0,0,0,0,0,1,0,0,1,0,0,0,0,18.0,,ALL,0.08,2019-02-25,2021-09-22,1.0,6.0,True
NCT00631488,PHASE2,INDUSTRY,,1,146.0,RANDOMIZED,PARALLEL,DOUBLE,3.0,6,0,0,0,0,0,0,1,0,0,0,0,21.0,65.0,ALL,0.05,2008-02-21,2016-12-30,1.0,4.0,True
NCT02010684,,OTHER,1.0,1,121.0,RANDOMIZED,PARALLEL,NONE,2.0,0,1,0,0,0,0,0,1,0,0,0,0,50.0,,ALL,0.29,2013-08-01,2015-05-27,2.0,5.0,True
NCT00295633,PHASE3,INDUSTRY,133.0,1,565.0,RANDOMIZED,PARALLEL,DOUBLE,3.0,6,0,0,0,0,0,0,1,0,0,0,0,18.0,77.0,ALL,0.36,2006-02-22,2015-03-18,1.0,3.0,True
NCT01106677,PHASE3,INDUSTRY,128.0,1,1284.0,RANDOMIZED,PARALLEL,TRIPLE,4.0,4,0,0,0,0,0,0,1,0,0,0,0,18.0,80.0,ALL,0.0,2010-04-01,2013-07-25,1.0,13.0,True
NCT03377127,,OTHER,4.0,1,86.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,0,1,0,0,0,0,1,1,0,0,0,0,18.0,75.0,ALL,0.0,2017-12-13,2021-06-29,2.0,19.0,True
NCT03159299,,OTHER,1.0,1,47.0,RANDOMIZED,PARALLEL,NONE,2.0,0,1,0,0,0,0,0,1,0,0,0,0,21.0,65.0,ALL,0.06,2017-05-04,2020-04-14,1.0,18.0,True
NCT00935220,PHASE1,INDUSTRY,6.0,1,41.0,NON_RANDOMIZED,SINGLE_GROUP,NONE,1.0,1,0,0,0,0,0,0,1,0,0,0,0,21.0,65.0,ALL,0.05,2009-07-01,2014-06-17,3.0,6.0,True
NCT01495975,,OTHER,1.0,1,29.0,RANDOMIZED,PARALLEL,NONE,2.0,0,0,0,0,0,0,1,1,0,0,0,0,18.0,,ALL,0.03,2011-12-14,2016-09-12,1.0,3.0,True
NCT02226003,PHASE3,INDUSTRY,,1,291.0,RANDOMIZED,PARALLEL,DOUBLE,3.0,5,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.03,2014-08-25,2018-08-15,3.0,6.0,True
NCT00798161,PHASE3,INDUSTRY,138.0,1,857.0,RANDOMIZED,PARALLEL,DOUBLE,6.0,6,0,0,0,0,0,0,1,0,0,0,0,18.0,80.0,ALL,0.13,2008-11-24,2013-12-11,1.0,17.0,True
NCT03786718,,OTHER,1.0,1,69.0,,SINGLE_GROUP,NONE,1.0,0,0,0,0,0,0,1,1,0,0,0,0,21.0,,ALL,0.1,2018-12-19,2023-05-05,3.0,9.0,True
NCT01040819,PHASE4,OTHER,2.0,1,25.0,RANDOMIZED,PARALLEL,SINGLE,2.0,1,0,0,0,0,0,0,1,0,0,0,0,21.0,,ALL,0.0,2009-12-29,2016-05-14,1.0,,True
NCT02981069,PHASE4,OTHER,1.0,1,90.0,RANDOMIZED,PARALLEL,NONE,4.0,3,0,0,0,0,0,0,1,0,0,0,0,18.0,70.0,ALL,0.0,2016-11-30,2023-06-28,2.0,3.0,True
NCT00664534,PHASE4,INDUSTRY,27.0,1,344.0,RANDOMIZED,PARALLEL,NONE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,30.0,74.0,ALL,0.22,2008-04-21,2011-11-09,1.0,10.0,True
NCT00955747,PHASE3,INDUSTRY,46.0,1,494.0,RANDOMIZED,PARALLEL,QUADRUPLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,75.0,ALL,0.28,2009-08-07,2014-11-18,1.0,,True
NCT02773368,PHASE3,INDUSTRY,88.0,2,420.0,RANDOMIZED,PARALLEL,NONE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.03,2016-05-13,2020-08-10,1.0,32.0,True
NCT00602472,PHASE3,INDUSTRY,100.0,1,1058.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,80.0,ALL,0.07,2008-01-15,2014-02-27,1.0,12.0,True
NCT02738879,PHASE3,INDUSTRY,,1,746.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,5,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.05,2016-04-11,2019-02-22,4.0,11.0,True
NCT01709305,PHASE4,INDUSTRY,,1,5570.0,RANDOMIZED,PARALLEL,NONE,4.0,6,0,0,0,0,0,0,1,0,0,0,0,18.0,75.0,ALL,0.0,2012-10-16,2018-07-23,1.0,6.0,True
NCT01093794,PHASE1,INDUSTRY,,1,28.0,RANDOMIZED,CROSSOVER,NONE,4.0,4,0,0,0,0,0,0,1,0,0,0,0,18.0,40.0,MALE,0.0,2010-03-19,2015-07-17,2.0,,True
NCT01434186,PHASE3,INDUSTRY,16.0,1,32.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,4,0,0,0,0,0,0,1,0,0,0,0,10.0,17.0,ALL,0.0,2011-09-13,2017-03-07,1.0,,True
NCT00401622,,INDUSTRY,18.0,1,320.0,RANDOMIZED,PARALLEL,NONE,2.0,0,2,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.24,2006-11-16,2019-05-03,1.0,1.0,True
NCT01680341,PHASE3,INDUSTRY,45.0,2,272.0,RANDOMIZED,PARALLEL,NONE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.14,2012-08-31,2018-03-06,1.0,7.0,True
NCT02607865,PHASE3,INDUSTRY,242.0,2,1864.0,RANDOMIZED,PARALLEL,DOUBLE,4.0,3,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.06,2015-11-10,2022-07-11,1.0,42.0,True
NCT00928889,PHASE4,INDUSTRY,6.0,1,160.0,RANDOMIZED,PARALLEL,NONE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.04,2009-06-25,2012-05-07,1.0,9.0,True
NCT00885118,PHASE2,INDUSTRY,5.0,1,100.0,RANDOMIZED,PARALLEL,DOUBLE,5.0,8,0,0,0,0,0,0,1,0,0,0,0,20.0,70.0,ALL,0.03,2009-04-20,2014-11-13,3.0,27.0,True
NCT02320721,PHASE3,INDUSTRY,162.0,1,1014.0,RANDOMIZED,PARALLEL,NONE,2.0,3,0,0,0,0,0,0,1,0,0,0,0,65.0,,ALL,0.06,2014-12-16,2020-04-10,1.0,8.0,True
NCT00614939,PHASE3,INDUSTRY,75.0,1,572.0,RANDOMIZED,PARALLEL,TRIPLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.46,2008-01-31,2011-05-16,1.0,9.0,True
NCT00976937,PHASE3,INDUSTRY,92.0,1,319.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,5,0,0,0,1,0,0,1,0,0,0,0,18.0,49.0,ALL,0.08,2009-09-14,2016-08-18,1.0,13.0,True
NCT01365507,PHASE3,INDUSTRY,42.0,2,276.0,RANDOMIZED,PARALLEL,NONE,2.0,1,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.07,2011-05-31,2017-02-09,1.0,4.0,True
NCT02551874,PHASE3,INDUSTRY,40.0,1,650.0,RANDOMIZED,PARALLEL,NONE,2.0,4,0,0,0,0,0,0,1,0,0,0,0,18.0,120.0,ALL,0.1,2015-09-15,2018-11-20,1.0,5.0,True
NCT01280695,PHASE2,INDUSTRY,14.0,1,129.0,RANDOMIZED,PARALLEL,QUADRUPLE,5.0,5,0,0,0,0,0,0,1,0,0,0,0,18.0,75.0,ALL,0.09,2011-01-20,2014-03-17,1.0,5.0,True
NCT01819272,PHASE2,INDUSTRY,,1,240.0,RANDOMIZED,PARALLEL,QUADRUPLE,6.0,3,0,0,0,0,0,0,1,0,0,0,0,18.0,65.0,ALL,0.12,2013-03-19,2017-02-06,1.0,2.0,True
NCT01422876,PHASE3,INDUSTRY,211.0,1,1405.0,RANDOMIZED,PARALLEL,DOUBLE,5.0,25,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.0,2011-08-23,2015-04-01,2.0,6.0,True
NCT03692208,,OTHER,1.0,1,110.0,RANDOMIZED,PARALLEL,NONE,2.0,0,1,0,0,0,0,0,1,0,0,0,0,65.0,,ALL,0.09,2018-09-20,2023-01-25,1.0,2.0,True
NCT02648204,PHASE3,INDUSTRY,209.0,2,1201.0,RANDOMIZED,PARALLEL,NONE,4.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.06,2016-01-05,2019-10-02,1.0,27.0,True
NCT00375492,PHASE3,INDUSTRY,10.0,1,196.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,75.0,ALL,0.27,2006-09-11,2015-03-19,1.0,11.0,True
NCT00971997,PHASE4,INDUSTRY,14.0,1,135.0,NON_RANDOMIZED,SINGLE_GROUP,NONE,1.0,1,0,0,0,0,0,0,1,0,0,0,0,20.0,80.0,ALL,0.14,2009-09-02,2012-03-15,1.0,12.0,True
NCT00937326,PHASE2,INDUSTRY,61.0,1,227.0,RANDOMIZED,PARALLEL,TRIPLE,5.0,2,0,0,0,0,0,0,1,0,0,0,0,30.0,70.0,ALL,0.11,2009-07-09,2018-05-02,30.0,15.0,True
NCT00391027,PHASE4,INDUSTRY,62.0,1,261.0,RANDOMIZED,PARALLEL,NONE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,30.0,,ALL,0.14,2006-10-19,2015-06-30,1.0,18.0,True
NCT02827708,PHASE3,INDUSTRY,117.0,2,324.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.03,2016-07-06,2020-02-14,1.0,39.0,True
NCT01525238,PHASE1,INDUSTRY,17.0,1,53.0,RANDOMIZED,PARALLEL,NONE,3.0,3,0,0,0,0,0,0,1,0,0,0,0,10.0,17.0,ALL,0.04,2012-01-31,2017-04-26,7.0,13.0,True
NCT00620282,PHASE3,INDUSTRY,1.0,2,49.0,RANDOMIZED,PARALLEL,DOUBLE,3.0,3,0,0,0,0,0,0,1,0,0,0,0,40.0,70.0,ALL,0.06,2008-02-11,2017-01-25,1.0,13.0,True
NCT03078478,PHASE3,INDUSTRY,229.0,2,1609.0,RANDOMIZED,PARALLEL,NONE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.0,2017-03-10,2022-01-06,1.0,15.0,True
NCT01248364,PHASE2,INDUSTRY,3.0,1,91.0,,SINGLE_GROUP,NONE,1.0,1,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.01,2010-11-24,2014-08-29,4.0,6.0,True
NCT03191396,PHASE3,INDUSTRY,92.0,2,577.0,RANDOMIZED,PARALLEL,NONE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.01,2017-06-16,2019-10-02,1.0,40.0,True
NCT00570687,PHASE2,INDUSTRY,1.0,1,30.0,RANDOMIZED,CROSSOVER,NONE,1.0,1,0,0,0,0,0,0,1,0,0,0,0,18.0,70.0,ALL,0.0,2007-12-07,2014-10-09,3.0,,True
NCT00754624,PHASE2,INDUSTRY,40.0,1,229.0,NON_RANDOMIZED,SINGLE_GROUP,NONE,1.0,1,0,0,0,0,0,0,1,0,0,0,0,18.0,80.0,ALL,0.3,2008-09-16,2014-10-09,1.0,6.0,True
NCT00961662,PHASE2,INDUSTRY,13.0,1,161.0,RANDOMIZED,PARALLEL,SINGLE,3.0,1,0,0,0,0,0,0,1,0,0,0,0,18.0,75.0,ALL,0.37,2009-08-17,2014-11-01,1.0,5.0,True
NCT02820298,PHASE1,INDUSTRY,1.0,1,25.0,RANDOMIZED,CROSSOVER,NONE,2.0,1,0,0,0,0,0,0,1,0,0,0,0,18.0,65.0,ALL,0.12,2016-06-24,2021-05-26,5.0,,True
NCT00751114,PHASE4,INDUSTRY,17.0,1,515.0,RANDOMIZED,PARALLEL,NONE,2.0,3,0,0,0,0,0,0,1,0,0,0,0,35.0,70.0,ALL,0.14,2008-09-10,2012-09-03,1.0,9.0,True
NCT01894568,PHASE3,INDUSTRY,31.0,1,388.0,RANDOMIZED,PARALLEL,NONE,2.0,3,0,0,0,0,0,0,1,0,0,0,0,20.0,,ALL,0.05,2013-07-03,2019-03-13,1.0,17.0,True
NCT01512797,,OTHER,1.0,1,37.0,RANDOMIZED,PARALLEL,QUADRUPLE,2.0,1,0,0,0,0,0,1,1,0,0,0,0,18.0,70.0,ALL,0.0,2012-01-13,2019-01-07,2.0,3.0,True
NCT02648217,PHASE3,INDUSTRY,32.0,2,263.0,RANDOMIZED,PARALLEL,NONE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.06,2016-01-05,2017-12-20,1.0,6.0,True
NCT03014011,,OTHER,1.0,3,28.0,RANDOMIZED,CROSSOVER,DOUBLE,2.0,0,0,0,0,0,0,2,1,0,0,0,0,35.0,70.0,ALL,0.0,2016-12-21,2020-01-14,1.0,,True
NCT02114814,,OTHER,1.0,1,186.0,NON_RANDOMIZED,PARALLEL,NONE,2.0,0,2,0,0,0,0,0,1,0,0,0,0,18.0,99.0,ALL,0.13,2014-04-03,2022-05-22,4.0,4.0,True
NCT02268916,,FED,1.0,1,104.0,RANDOMIZED,PARALLEL,SINGLE,2.0,0,2,0,0,0,0,0,1,0,0,0,0,60.0,,ALL,0.26,2014-10-15,2022-09-08,2.0,,True
NCT01677299,PHASE1,INDUSTRY,2.0,1,24.0,RANDOMIZED,CROSSOVER,DOUBLE,4.0,2,0,0,0,0,0,0,1,0,0,0,0,19.0,70.0,ALL,0.21,2012-08-23,2016-08-12,4.0,,True
NCT02762578,PHASE3,INDUSTRY,42.0,2,543.0,RANDOMIZED,PARALLEL,NONE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.05,2016-05-03,2019-03-19,1.0,47.0,True
NCT00917267,PHASE3,INDUSTRY,42.0,1,691.0,RANDOMIZED,PARALLEL,NONE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,20.0,,ALL,0.17,2009-06-08,2015-03-20,1.0,9.0,True
NCT02461589,PHASE2,INDUSTRY,150.0,2,706.0,RANDOMIZED,PARALLEL,DOUBLE,13.0,3,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.06,2015-06-01,2019-07-30,1.0,3.0,True
NCT00736099,PHASE3,INDUSTRY,232.0,1,2122.0,NON_RANDOMIZED,PARALLEL,NONE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,82.0,ALL,0.11,2008-08-14,2014-06-18,29.0,17.0,True
NCT01708902,PHASE3,INDUSTRY,56.0,1,876.0,RANDOMIZED,FACTORIAL,DOUBLE,5.0,8,0,0,0,0,0,0,1,0,0,0,0,18.0,80.0,ALL,0.09,2012-10-16,2015-04-08,3.0,10.0,True
NCT01272804,PHASE1,INDUSTRY,4.0,2,61.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,70.0,ALL,0.07,2011-01-06,2016-12-06,18.0,9.0,True
NCT00674986,,INDUSTRY,29.0,1,522.0,RANDOMIZED,PARALLEL,NONE,2.0,0,0,0,0,2,0,0,1,0,0,0,0,25.0,,ALL,0.25,2008-05-07,2013-08-19,1.0,7.0,True
NCT00996658,PHASE3,INDUSTRY,52.0,1,278.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,79.0,ALL,0.13,2009-10-15,2014-02-24,1.0,10.0,True
NCT00618995,PHASE1,INDUSTRY,,1,26.0,RANDOMIZED,CROSSOVER,DOUBLE,4.0,4,0,0,0,0,0,0,1,0,0,0,0,18.0,65.0,ALL,0.0,2008-02-08,2015-08-25,1.0,1.0,True
NCT04198948,PHASE1,OTHER,1.0,1,15.0,RANDOMIZED,CROSSOVER,SINGLE,2.0,3,0,0,0,0,0,0,1,0,0,0,0,18.0,30.0,MALE,0.0,2019-12-11,2021-07-19,1.0,2.0,True
NCT00950599,PHASE2,INDUSTRY,,1,423.0,RANDOMIZED,PARALLEL,QUADRUPLE,7.0,7,0,0,0,0,0,0,1,0,0,0,0,21.0,70.0,ALL,0.0,2009-07-31,2015-03-16,2.0,82.0,True
NCT00153179,PHASE1,OTHER,1.0,1,40.0,RANDOMIZED,CROSSOVER,QUADRUPLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,75.0,ALL,0.0,2005-09-08,2018-08-26,2.0,,True
NCT03670641,PHASE4,OTHER,1.0,1,10.0,,SINGLE_GROUP,NONE,1.0,2,0,0,0,1,0,0,1,0,0,0,0,18.0,,ALL,0.3,2018-09-06,2021-09-15,1.0,5.0,True
NCT02054897,PHASE3,INDUSTRY,86.0,2,388.0,RANDOMIZED,PARALLEL,DOUBLE,4.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.07,2014-02-03,2019-05-28,1.0,5.0,True
NCT01221090,PHASE4,OTHER,1.0,1,376.0,RANDOMIZED,PARALLEL,NONE,4.0,0,3,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.3,2010-10-13,2013-08-07,1.0,4.0,True
NCT00842361,PHASE2,INDUSTRY,8.0,2,66.0,RANDOMIZED,PARALLEL,NONE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,20.0,,ALL,0.05,2009-02-11,2016-12-15,2.0,5.0,True
NCT00328172,PHASE2,INDUSTRY,71.0,1,302.0,RANDOMIZED,PARALLEL,DOUBLE,5.0,5,0,0,0,0,0,0,1,0,0,0,0,21.0,75.0,ALL,0.21,2006-05-18,2014-02-15,1.0,2.0,True
NCT01296412,PHASE3,INDUSTRY,,1,653.0,RANDOMIZED,PARALLEL,NONE,2.0,4,0,0,0,0,0,0,1,0,0,0,0,18.0,79.0,ALL,0.19,2011-02-14,2017-05-09,1.0,3.0,True
NCT03270436,,OTHER,1.0,1,380.0,RANDOMIZED,PARALLEL,NONE,2.0,0,2,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.0,2017-08-29,2020-11-13,1.0,6.0,True
NCT03015220,PHASE3,INDUSTRY,34.0,2,458.0,RANDOMIZED,PARALLEL,NONE,4.0,2,0,0,0,0,0,0,1,0,0,0,0,20.0,,ALL,0.02,2017-01-06,2021-02-11,1.0,32.0,True
NCT02561338,PHASE2,INDUSTRY,1.0,1,258.0,RANDOMIZED,PARALLEL,QUADRUPLE,5.0,4,0,0,0,0,0,1,1,0,0,0,0,40.0,75.0,ALL,0.12,2015-09-23,2020-02-25,1.0,2.0,True
NCT00789035,PHASE2,INDUSTRY,74.0,1,408.0,,PARALLEL,,,3,0,0,0,0,0,0,1,0,0,0,0,18.0,80.0,ALL,0.05,2008-10-13,2014-05-16,1.0,9.0,True
NCT01868542,PHASE4,INDUSTRY,6.0,2,46.0,RANDOMIZED,PARALLEL,NONE,2.0,1,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.04,2013-05-30,2017-01-18,1.0,6.0,True
NCT00511108,PHASE1,INDUSTRY,,1,211.0,RANDOMIZED,PARALLEL,DOUBLE,4.0,4,0,0,0,0,0,0,1,0,0,0,0,30.0,65.0,ALL,0.09,2007-08-02,2017-04-07,2.0,1.0,True
NCT00716092,PHASE2,INDUSTRY,3.0,1,121.0,RANDOMIZED,PARALLEL,DOUBLE,3.0,6,0,0,0,0,0,0,1,0,0,0,0,18.0,80.0,ALL,0.02,2008-07-15,2014-06-18,2.0,2.0,True
NCT01215435,PHASE4,INDUSTRY,1.0,2,245.0,RANDOMIZED,PARALLEL,NONE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.14,2010-10-01,2014-10-22,1.0,2.0,True
NCT00984867,PHASE3,INDUSTRY,88.0,1,833.0,RANDOMIZED,PARALLEL,QUADRUPLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.09,2009-09-23,2014-06-09,1.0,6.0,True
NCT01973231,PHASE4,INDUSTRY,61.0,2,404.0,RANDOMIZED,PARALLEL,NONE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.06,2013-10-23,2016-12-15,1.0,6.0,True
NCT01754259,PHASE3,OTHER,1.0,4,47.0,RANDOMIZED,CROSSOVER,DOUBLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,90.0,ALL,0.23,2012-12-12,2017-06-26,1.0,1.0,True
NCT02980978,,OTHER,,1,118.0,RANDOMIZED,PARALLEL,NONE,2.0,0,1,0,0,0,0,0,1,0,0,0,0,40.0,75.0,ALL,0.12,2016-11-15,2019-05-30,1.0,,True
NCT02897349,PHASE3,INDUSTRY,25.0,1,206.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,3,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.05,2016-08-30,2020-03-24,1.0,7.0,True
NCT01664624,PHASE1,INDUSTRY,2.0,1,40.0,RANDOMIZED,PARALLEL,QUADRUPLE,4.0,5,0,0,0,0,0,0,1,0,0,0,0,18.0,80.0,ALL,0.03,2012-08-10,2016-12-02,1.0,5.0,True
NCT00790205,PHASE3,INDUSTRY,,1,14671.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,50.0,,ALL,0.05,2008-11-11,2021-10-27,2.0,16.0,True
NCT03018028,PHASE3,INDUSTRY,16.0,2,243.0,RANDOMIZED,PARALLEL,DOUBLE,5.0,3,0,0,0,0,0,0,1,0,0,0,0,20.0,,ALL,0.02,2017-01-06,2021-01-14,1.0,49.0,True
NCT03175120,PHASE3,INDUSTRY,37.0,2,453.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.05,2017-05-24,2020-03-18,1.0,60.0,True
NCT02722239,PHASE1,INDUSTRY,1.0,1,40.0,RANDOMIZED,CROSSOVER,NONE,2.0,3,0,0,0,0,0,0,1,0,0,0,0,18.0,45.0,ALL,0.0,2016-03-15,2017-08-07,5.0,,True
NCT01098461,PHASE2,INDUSTRY,30.0,1,215.0,RANDOMIZED,PARALLEL,DOUBLE,4.0,0,0,0,2,0,0,0,1,0,0,0,0,20.0,75.0,ALL,0.0,2010-02-12,2016-11-29,1.0,8.0,True
NCT00683878,PHASE3,INDUSTRY,89.0,1,972.0,RANDOMIZED,PARALLEL,DOUBLE,3.0,4,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.13,2008-05-22,2017-01-03,1.0,6.0,True
NCT01028391,PHASE3,INDUSTRY,,1,317.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,3,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.08,2009-12-08,2017-04-07,1.0,1.0,True
NCT00621140,PHASE3,INDUSTRY,69.0,1,503.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,80.0,ALL,0.07,2008-01-14,2014-01-22,1.0,13.0,True
NCT01076088,PHASE3,INDUSTRY,,1,744.0,RANDOMIZED,PARALLEL,DOUBLE,6.0,5,0,0,0,0,0,0,1,0,0,0,0,18.0,78.0,ALL,0.13,2010-02-24,2017-04-27,1.0,2.0,True
NCT01128894,PHASE3,INDUSTRY,174.0,1,841.0,RANDOMIZED,PARALLEL,NONE,2.0,1,0,0,1,0,0,0,1,0,0,0,0,18.0,,ALL,0.16,2010-04-29,2017-01-09,1.0,6.0,True
NCT01651117,,FED,1.0,1,480.0,RANDOMIZED,SEQUENTIAL,SINGLE,3.0,0,1,0,0,0,0,0,1,0,0,0,0,30.0,75.0,ALL,0.02,2012-07-24,2019-10-15,3.0,27.0,True
NCT00858013,PHASE4,OTHER,7.0,1,88.0,RANDOMIZED,PARALLEL,NONE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.47,2009-03-06,2017-05-15,1.0,4.0,True
NCT03839641,,OTHER,1.0,1,10.0,RANDOMIZED,CROSSOVER,DOUBLE,2.0,0,0,0,0,0,0,2,1,0,0,0,0,18.0,40.0,ALL,0.2,2019-02-11,2021-08-21,1.0,6.0,True
NCT02589626,PHASE4,INDUSTRY,16.0,1,65.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,3,0,0,0,0,0,0,1,0,0,0,0,20.0,,ALL,0.08,2015-10-27,2019-01-04,1.0,1.0,True
NCT03296800,PHASE1,INDUSTRY,1.0,1,48.0,NON_RANDOMIZED,SINGLE_GROUP,NONE,3.0,4,0,0,0,0,0,0,1,0,0,0,0,18.0,55.0,ALL,0.0,2017-09-25,2021-06-29,4.0,1.0,True
NCT01570751,PHASE3,INDUSTRY,46.0,2,145.0,RANDOMIZED,CROSSOVER,NONE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.0,2012-04-02,2017-01-24,1.0,5.0,True
NCT00918138,PHASE3,INDUSTRY,21.0,1,219.0,RANDOMIZED,PARALLEL,QUADRUPLE,2.0,5,0,0,0,0,0,0,1,0,0,0,0,18.0,78.0,ALL,0.03,2009-06-09,2015-05-04,1.0,2.0,True
NCT04849845,PHASE4,INDUSTRY,2.0,2,20.0,,SINGLE_GROUP,NONE,1.0,0,0,0,0,0,0,0,1,2,0,0,0,18.0,,ALL,0.0,2021-04-16,2023-09-14,1.0,6.0,True
NCT00757588,PHASE3,INDUSTRY,80.0,1,455.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,78.0,ALL,0.0,2008-09-22,2015-05-08,1.0,5.0,True
