study_id,phase,sponsor_type,no_of_locations,no_of_conditions,enrollment,allocation,intervention_model,masking,no_of_arms,no_of_drug_interventions,no_of_behavioral_interventions,no_of_procedural_interventions,no_of_biological_interventions,no_of_device_interventions,no_of_dietary_interventions,no_of_other_interventions,adverseEventDataAvailable,no_of_combination_product_interventions,no_of_diagnostic_test_interventions,no_of_genetic_interventions,no_of_radiation_interventions,min_age,max_age,gender,total_dropout_rate,start_date,end_date,no_of_primary_outcomes,no_of_secondary_outcomes,has_result
NCT01626053,,OTHER,1.0,1,182.0,NON_RANDOMIZED,SINGLE_GROUP,NONE,2.0,0,1,0,0,0,0,1,0,0,0,0,0,18.0,,ALL,-1.0,2012-06-07,2012-06-21,1.0,,False
NCT00941447,,OTHER,1.0,1,15.0,RANDOMIZED,PARALLEL,SINGLE,2.0,0,3,0,0,0,0,0,0,0,0,0,0,21.0,65.0,ALL,-1.0,2009-07-15,2018-04-03,1.0,5.0,False
NCT02836704,PHASE4,INDUSTRY,1.0,1,892.0,RANDOMIZED,PARALLEL,NONE,2.0,3,0,0,0,0,0,0,0,0,0,0,0,18.0,70.0,ALL,-1.0,2016-07-07,2022-04-21,1.0,11.0,False
NCT03848793,PHASE2,INDUSTRY,1.0,1,128.0,RANDOMIZED,PARALLEL,QUADRUPLE,4.0,1,0,0,0,0,0,0,0,0,0,0,0,18.0,70.0,ALL,-1.0,2019-02-19,2022-11-04,1.0,2.0,False
NCT00272064,PHASE3,INDUSTRY,1.0,1,352.0,RANDOMIZED,PARALLEL,NONE,2.0,3,0,0,0,0,0,0,0,0,0,0,0,35.0,70.0,ALL,-1.0,2006-01-02,2009-12-04,1.0,9.0,False
NCT03437902,PHASE2,OTHER,1.0,1,53.0,RANDOMIZED,PARALLEL,NONE,3.0,0,0,0,0,0,2,0,0,0,0,0,0,35.0,,ALL,-1.0,2018-02-10,2018-05-15,3.0,1.0,False
NCT04692415,PHASE4,OTHER,1.0,1,25.0,RANDOMIZED,CROSSOVER,NONE,2.0,2,0,0,0,0,0,0,0,0,0,0,0,18.0,65.0,ALL,-1.0,2020-12-20,2020-12-29,3.0,14.0,False
NCT01057628,PHASE3,INDUSTRY,5.0,1,130.0,RANDOMIZED,PARALLEL,QUADRUPLE,2.0,2,0,0,0,0,0,0,0,0,0,0,0,20.0,,ALL,-1.0,2010-01-25,2024-11-01,1.0,3.0,False
NCT04163757,,OTHER,1.0,1,50.0,RANDOMIZED,PARALLEL,QUADRUPLE,2.0,0,0,0,0,0,2,0,0,0,0,0,0,40.0,65.0,ALL,-1.0,2019-11-12,2019-11-14,1.0,,False
NCT06059326,PHASE2,INDUSTRY,1.0,1,48.0,RANDOMIZED,SEQUENTIAL,DOUBLE,4.0,4,0,0,0,0,0,0,0,0,0,0,0,18.0,75.0,ALL,-1.0,2023-09-23,2023-09-23,1.0,7.0,False
