no_of_locations,no_of_conditions,enrollment,no_of_arms,adverseEventDataAvailable,min_age,max_age,total_dropout_rate,no_of_primary_outcomes,no_of_secondary_outcomes,phase_MISSING,phase_PHASE1,phase_PHASE2,phase_PHASE3,phase_PHASE4,sponsor_FED,sponsor_INDIV,sponsor_INDUSTRY,sponsor_NIH,sponsor_OTHER,sponsor_OTHER_GOV,allocation_encoded,intervention_model_CROSSOVER,intervention_model_FACTORIAL,intervention_model_PARALLEL,intervention_model_SEQUENTIAL,intervention_model_SINGLE_GROUP,masking_DOUBLE,masking_NONE,masking_QUADRUPLE,masking_TRIPLE,male,female,trail_length,no_of_interventions,no_of_types_of_interventions,failure_score,has_result
1,4,22,2,0,18,75,-1,2,6,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1471,2,2,97.14,0
1,1,48,6,0,18,45,-1,9,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,5,2,1,95.82,0
1,2,20,1,1,45,65,0,1,4,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,3927,1,1,13.51,1
12,1,151,2,1,18,70,13,3,4,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,4206,2,1,0.97,1
1,1,207,2,0,18,69,-1,1,5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,2400,1,1,89.6,0
15,1,287,2,1,18,80,18,1,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,2019,2,1,0.54,1
99,2,460,2,1,18,69,13,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2534,2,1,0.55,1
87,2,75,2,0,18,85,-1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,4447,2,1,92.51,0
62,1,496,4,0,18,70,-1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1315,2,1,95.8,0
3,2,91,2,0,20,80,-1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,98.08,0
975,1,7352,2,1,18,69,1,1,5,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,2415,2,1,0.0,1
19,1,186,4,0,18,70,-1,1,4,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1641,2,1,94.64,0
1,1,80,2,0,18,80,-1,1,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,8,2,1,97.88,0
1,1,12,3,0,20,75,-1,1,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,69,3,1,92.72,0
20,2,21,4,0,10,17,-1,1,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2745,4,1,94.82,0
1,1,352,2,0,18,79,-1,1,8,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1559,1,1,94.41,0
3,1,50,2,1,18,65,0,8,7,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,2570,2,1,9.44,1
1,1,30,2,0,40,85,-1,1,5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,751,2,1,95.92,0
4,3,226,2,0,20,80,-1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,2,1,97.37,0
9,1,130,2,1,18,70,8,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1699,2,1,7.43,1
1,1,20,1,0,18,55,-1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,2931,1,1,96.68,0
1,1,218,4,0,18,75,-1,1,5,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2737,5,1,93.12,0
1,1,16,4,1,18,70,0,2,2,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1798,4,1,6.51,1
1,1,51,2,0,18,69,-1,2,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,2,1,97.58,0
1,1,99,1,0,18,69,-1,1,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,146,1,1,95.26,0
