no_of_locations,no_of_conditions,enrollment,no_of_arms,adverseEventDataAvailable,min_age,max_age,total_dropout_rate,no_of_primary_outcomes,no_of_secondary_outcomes,has_result,phase_MISSING,phase_PHASE1,phase_PHASE2,phase_PHASE3,phase_PHASE4,sponsor_FED,sponsor_INDIV,sponsor_INDUSTRY,sponsor_NIH,sponsor_OTHER,sponsor_OTHER_GOV,allocation_encoded,intervention_model_CROSSOVER,intervention_model_FACTORIAL,intervention_model_PARALLEL,intervention_model_SEQUENTIAL,intervention_model_SINGLE_GROUP,masking_DOUBLE,masking_NONE,masking_QUADRUPLE,masking_TRIPLE,male,female,trail_length,no_of_interventions,no_of_types_of_interventions
1,1,1512,3,1,18,69,19,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,3461,3,2
1,1,27,2,1,20,69,0,1,23,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2766,2,1
1,1,48,2,1,18,69,21,1,20,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,2890,1,1
140,1,431,2,1,18,75,13,1,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1056,5,2
2,1,117,3,1,20,74,8,1,8,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1121,3,1
1,1,27,2,1,30,75,22,5,8,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1380,2,1
4,1,98,9,1,18,70,6,4,7,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,772,9,1
2,2,136,2,1,21,69,17,1,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1061,1,1
44,1,399,3,1,18,69,12,1,7,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,833,2,1
49,1,318,6,1,18,75,11,1,16,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,828,3,1
1,1,24,3,1,20,64,0,2,6,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2613,2,1
1,2,31,2,1,18,69,10,1,8,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,3000,2,1
1,1,16,6,1,20,65,0,2,6,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2351,2,1
3,1,46,3,1,18,75,0,1,27,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1235,3,2
35,1,84,2,1,10,17,0,3,20,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,3521,2,1
2,1,24,2,1,20,70,8,1,4,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,934,2,1
167,1,1538,2,1,18,69,16,1,19,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2380,2,1
1,1,12,2,1,20,64,0,14,16,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,461,3,1
1,1,31,4,1,20,75,0,1,3,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,636,4,2
6,1,76,2,1,40,65,18,1,7,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1629,2,1
4,2,64,3,1,18,75,12,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1740,2,1
1,1,49,2,1,18,70,16,1,5,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1297,2,2
1,1,80,3,1,20,69,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3112,3,1
40,1,12537,4,1,50,69,10,2,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,3403,4,2
2,1,24,2,1,20,70,0,4,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1503,1,1
40,1,263,4,1,18,70,43,1,15,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2689,2,1
46,1,636,4,1,20,69,3,1,11,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1139,2,1
32,1,536,2,1,18,69,8,1,11,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1273,2,1
13,1,111,4,1,18,75,6,1,7,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1294,2,1
14,1,394,5,1,20,69,7,2,6,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1166,6,1
65,1,388,2,1,18,64,4,1,8,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,783,2,1
50,1,155,9,1,18,70,0,6,4,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2072,3,2
43,1,281,8,1,18,75,16,1,9,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,770,3,1
